slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
docpad/docpad-plugin-related,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-tags,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-associatedfiles,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-text,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-handlebars,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-yourpluginname,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-umd,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-less,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-repocloner,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-coffeekup,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-browserifydocs,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-coffeescript,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-cachr,50.0,0.0,0.0,-86.0
bevry/readdir-cluster,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-uglify,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-haml,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-gist,50.0,0.0,0.0,-86.0
bevry/getrepos,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-downloader,50.0,0.0,0.0,-86.0
bevry/binaryextensions,50.0,0.0,0.0,-86.0
bevry/csextends,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-livescript,50.0,0.0,0.0,-86.0
bevry/getcontributors,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-cson,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-styl,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-hogan,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-move,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-raw,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-autoprefix,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-cleancss,50.0,0.0,0.0,-86.0
docpad/docpad-plugin-pug,50.0,0.0,0.0,-86.0
MikeMcl/big.js,5000.0,-4450.0,0.0,-4450.0
bincrafters/community,1637.0,-843.9,2736.0,-418.59
BioJulia/Bio.jl,55.0,0.0,,
BioJulia/BioSequences.jl,55.0,0.0,,
BioJulia/IntervalTrees.jl,55.0,0.0,,
BioJulia/GeneticVariation.jl,55.0,0.0,,
BioJulia/BioAlignments.jl,55.0,0.0,,
BioJulia/BioSymbols.jl,55.0,0.0,,
BioJulia/BioCore.jl,55.0,0.0,,
BioJulia/BioServices.jl,55.0,0.0,,
BioJulia/BioSequenceGraphs.jl,55.0,0.0,,
BioJulia/BioGenerics.jl,55.0,0.0,,
BioJulia/BioTools.jl,55.0,0.0,,
BioJulia/FASTX.jl,55.0,0.0,,
lets-blade/blade,,,,
meteor/blaze,898.0,0.0,,
blocktrack-ml/BlockTrack,,,,
LeachZhou/blog,,,,
mabyabt/bludit,203.0,-134.0,40.0,-10.0
BoostIO/Boostnote,6976.0,-190.0,636.0,-40.0
BoostIO/boostnote-mobile,6976.0,-190.0,636.0,-40.0
PowerMobileWeb/boostnote-mobile,6976.0,-190.0,636.0,-40.0
boot-clj/boot,130.0,0.0,,
NoahsNMC/Chatversity_App,1993.0,-448.42,355.0,-448.42
twbs/bootstrap,,,,
wenzhixin/bootstrap-table,56.0,0.0,,
bootstrap-vue/bootstrap-vue,530.0,0.0,,
BoLin-1025/bootstrap-vue,,,,
botui/botui,,,,
bower/bower,2147.0,-70.0,3533.0,-200.0
bpkg/bpkg,,,,
BrainJS/brain.js,1750.0,-922.0,635.0,-750.0
brainjs/brain.js,1750.0,-922.0,635.0,-750.0
pastelsky/bundlephobia,96.0,0.0,,
siddharthkp/bundlesize,10000.0,0.0,,
buttercup/buttercup-desktop,230.0,-50.0,5.0,-179.0
buttercup/buttercup-mobile,230.0,-50.0,5.0,-179.0
vedetta-com/caesonia,120.0,0.0,,
natario1/CameraView,130.0,0.0,,
Canner/canner,93.0,-52.79,0.0,-41.79
caprover/caprover,180.0,0.0,,
CaptainFact/captain-fact-api,1682.0,-627.61,159.31,-116.07
CaptainFact/captain-fact-frontend,1682.0,-627.61,159.31,-116.07
CaptainFact/captain-fact-extension,1682.0,-627.61,159.31,-116.07
CaptainFact/captain-fact,1682.0,-627.61,159.31,-116.07
CaptainFact/captain-fact-overlay-injector,1682.0,-627.61,159.31,-116.07
CaptainFact/captainfact-discord-bot,1682.0,-627.61,159.31,-116.07
gielcobben/caption,,,,
casbin/casbin,5.0,0.0,,
cboard-org/cboard,590.0,0.0,,
jingweno/ccat,,,,
saytoken/ccet,,,,
ccxt/ccxt,,,,
CJELLYS/ccxt,,,,
siteplace/ccxt,3060.0,-2450.0,0.0,-430.0
KELiON/cerebro,71.0,-30.5,20.0,-5.0
cezerin/cezerin,55.0,0.0,,
Cezerin2/cezerin2,15.0,0.0,,
recp/cglm,,,,
chaijs/chai,117.0,0.0,512.0,-221.79
cheeriojs/cheerio,42.0,0.0,,
